,ROLES,Companies,Experience,Salary,Location,Skills,Search,Clean_data,Title_new
1711,"application support consultant - data loggers, dds and pmac",ENZEN GLOBAL SOLUTION PVT LTD,1-4 ,,Bengaluru,"business process,process design,data analysis,application support,data management,rdbms,xml,reconciliation","application support consultant - data loggers, dds and pmac,Bengaluru",application support consultant data logger dd pmac bengaluru,Consultant
1712,data analytics trainer- chennai (chrompet),EDUBRIDGE LEARNING PVT LTD,3-6 ,200000 - 400000 ,Chennai,"chrompet,r,sas,mongodb,tableau,machine learning,statistics,python","data analytics trainer- chennai (chrompet),Chennai",data analytics trainer chennai chrompet chennai,Generic
1713,data science manager,RGF Professional Recruitment India,12-16 ,,Bengaluru,"cloud computing,business objects,ms sql,jquery,data science,project management,consulting,agile","data science manager,Bengaluru",data science manager bengaluru,Manager
1714,director of engineering data analytics adtech,CareerXperts Consulting,5-10 ,,Bengaluru,"advanced analytics,head business development,director business development,artificial intelligence,consulting,machine learning,director,engineering manager","director of engineering data analytics adtech,Bengaluru",director engineering data analytics adtech bengaluru,Engineer
1715,data intelligence ? spark ? ml,CareerXperts Consulting,2-7 ,,Bengaluru,"hive,spark,agile development,consulting,machine learning,web development,scala,j2ee","data intelligence ? spark ? ml,Bengaluru",data intelligence spark ml bengaluru,Generic
1716,data ware house engineer,One97,5-10 ,,"Bengaluru, Noida",data warehousing,"data ware house engineer,Bengaluru, Noida",data ware house engineer bengaluru noida,Engineer
1717,head of data science,GO-JEK,8-12 ,,Bengaluru,"computer science,data science,strategic partnerships,analytical,formulation,machine learning,business case,logistics","head of data science,Bengaluru",head data science bengaluru,Generic
1718,data engineer- adtech,Third Eye,4-5 ,,Kolkata,"python,testing,big data,architect,coding,spark,mysql","data engineer- adtech,Kolkata",data engineer adtech kolkata,Engineer
1719,python developer - adf data science - chennai,ADF Data Science Private Limited,2-7 ,,Chennai,"data science,python","python developer - adf data science - chennai,Chennai",python developer adf data science chennai chennai,Developer
1720,data warehouse engineer,EXCEL SOFTECH PRIVATE LIMITED,2-7 ,,Mysuru,"python,tableau,pdf,web services,database,ssis,sql scripting","data warehouse engineer,Mysuru",data warehouse engineer mysuru,Engineer
1721,senior electrical engineer (colocation data centre),Select Global Solutions LLP,12-15 ,2500000 - 3000000 ,Kenya,"change management,designs of data centers,project management,cost effectiveness,jobs in east africa,maintenance of data centers,colocation data centre,jobs in kenya","senior electrical engineer (colocation data centre),Kenya",senior electrical engineer colocation data centre kenya,Lead
1722,data engineer with good big data expertise. 4+ yrs. (contractual role),Eucloid Data Solutions Pvt. Limited,4-7 ,1200000 - 1800000 ,Delhi NCR,"hadoop,spark,etl,it skills,java,python,big data,azure","data engineer with good big data expertise. 4+ yrs. (contractual role),Delhi NCR",data engineer good big data expertise yr contractual role delhi ncr,Engineer
1723,java + big data developer,Bebo Technologies Pvt Ltd.,4-7 ,,Chandigarh,"hibernate,hadoop,spark,it skills,java,python,javascript,aws","java + big data developer,Chandigarh",java big data developer chandigarh,Developer
1724,mdm data technology engineer,Avantor Performance Materials India Limited,2-7 ,,Coimbatore,"diagnostics - biochemistry,excipients,instruments,hematology,reagents,biopharma,lab- chemicals,chromatography","mdm data technology engineer,Coimbatore",mdm data technology engineer coimbatore,Engineer
1725,couchbase data engineer,Software Data India Ltd.,4-8 ,,"Delhi NCR, Delhi","o 27001,sql database,data processing","couchbase data engineer,Delhi NCR, Delhi",couchbase data engineer delhi ncr delhi,Engineer
1726,principal data engineer,ExecBoardinAsia,5-10 ,,Chennai,"data management,technical design,devops,technical leadership,infrastructure,deployment,subject matter expert,open source","principal data engineer,Chennai",principal data engineer chennai,Engineer
1727,informatica enterprise data catalog (edc) engineer,NUMENTICA PRIVATE LIMITED,5-10 ,,Remote-US,"ervices,metadata,data management,analytical,data governance,scrum,data quality,informatica","informatica enterprise data catalog (edc) engineer,Remote-US",informatica enterprise data catalog edc engineer remote u,Engineer
1728,big data engineer for cochin,EVERSERVE CONSULTANTS PRIVATE LIMITED,3-8 ,300000 - 800000 ,Kochi,"hibernate,rest,nosql,jboss,hadoop,mysql,mongodb,sql","big data engineer for cochin,Kochi",big data engineer cochin kochi,Engineer
1729,senior/ lead data engineer - big data & aws cloud,TalentCo Search Pvt Ltd,7-12 ,,Bengaluru,"java,python,cloud,big data,aws,tableau,java","senior/ lead data engineer - big data & aws cloud,Bengaluru",senior lead data engineer big data aws cloud bengaluru,Lead
1730,senior backend engineer - data ingestion,TalentCo Search Pvt Ltd,4-7 ,,Bengaluru,"node.js,aws,data ingestion,nosql,design patterns,postgresql,mysql","senior backend engineer - data ingestion,Bengaluru",senior backend engineer data ingestion bengaluru,Lead
1731,data quality engineer - data operations,ExecBoardinAsia,5-10 ,,Chennai,"cketing,sap,project support,erp system,process improvement,data quality,troubleshooting,jira","data quality engineer - data operations,Chennai",data quality engineer data operation chennai,Engineer
1732,sr. data center engineer - bhubaneshwar,Experteye Consulting,5-9 ,,Bhubaneshwar,"data - centre operations,noc,vmware,datacenter,ccnp,cisco servers,ccie,server load balancer","sr. data center engineer - bhubaneshwar,Bhubaneshwar",sr data center engineer bhubaneshwar bhubaneshwar,Engineer
1733,data engineer - java (senior ),Kenan Management Consultants Private Limited,7-10 ,1800000 - 2250000 ,Bengaluru,"java,j2ee,software development,cloud,css,aws,azure","data engineer - java (senior ),Bengaluru",data engineer java senior bengaluru,Lead
1734,data analytics trainer,EDUBRIDGE LEARNING PVT LTD,2-7 ,,India,"r programing,machine learning,python,it skills,python,machine learning,advanced python,sas","data analytics trainer,India",data analytics trainer india,Generic
1735,projects trainees - medical electronics (data analysis),Society for Applied Microwave Electronics Engineering & Research,0-0 ,,India,"r programing,machine learning,python,it skills,python,machine learning,advanced python,sas","projects trainees - medical electronics (data analysis),India",project trainee medical electronics data analysis india,Analyst
1736,assistant professor grade-ii (contract) - big data analysis,"Indian Institute of Information Technology, Allahabad",0-0 ,,Allahabad,"r programing,machine learning,python,it skills,python,machine learning,advanced python,sas","assistant professor grade-ii (contract) - big data analysis,Allahabad",assistant professor grade ii contract big data analysis allahabad,Analyst
1737,assistant professor grade-i - big data analysis,"Indian Institute of Information Technology, Allahabad",0-0 ,,Allahabad,"r programing,machine learning,python,it skills,python,machine learning,advanced python,sas","assistant professor grade-i - big data analysis,Allahabad",assistant professor grade big data analysis allahabad,Analyst
1738,associate professor - big data analysis,"Indian Institute of Information Technology, Allahabad",0-0 ,,Allahabad,"r programing,machine learning,python,it skills,python,machine learning,advanced python,sas","associate professor - big data analysis,Allahabad",associate professor big data analysis allahabad,Analyst
1739,professor - big data analysis,"Indian Institute of Information Technology, Allahabad",0-0 ,,Allahabad,"r programing,machine learning,python,it skills,python,machine learning,advanced python,sas","professor - big data analysis,Allahabad",professor big data analysis allahabad,Analyst
1740,data quality engineer - data operations east &west,Nokia Solutions and Networks India (P)Ltd.,3-6 ,,Chennai,"operations manager,sap,project support,process improvement,data quality,troubleshooting,jira,analytics","data quality engineer - data operations east &west,Chennai",data quality engineer data operation east west chennai,Engineer
1741,big data - ml engineer,Confidential,20-30 ,,India,"python,testing,machine learning,project management,big data,bpo,project management","big data - ml engineer,India",big data ml engineer india,Engineer
1742,sr. data analytics engineer,People360D Consulting Pvt.Ltd,4-7 ,1100000 - 2000000 ,Hyderabad,"python,cloud,big data,aws,tableau,azure,data analysis","sr. data analytics engineer,Hyderabad",sr data analytics engineer hyderabad,Engineer
1743,data science lead engineer,SYSTEM SOFT TECHNOLOGIES INDIA PRIVATE LIMITED,5-10 ,,Hyderabad,"java,python,testing,data science,machine learning,big data,java","data science lead engineer,Hyderabad",data science lead engineer hyderabad,Lead
1744,clinical data reviewer,Bayer AG (3-PROD),5-9 ,,India,"clinical,data,spotfire,review,medidata,oracle lsh,rave,pharma","clinical data reviewer,India",clinical data reviewer india,Generic
1745,data analytics - coe lead,FCA Engineering India Pvt. Ltd.,8-13 ,,India,"predictive modeling,data science,artificial intelligence,advanced analytics,reinforcement learning,tableau,data analytics,statistical analysis","data analytics - coe lead,India",data analytics coe lead india,Lead
1746,java data engineer - python/datalakes/java,Talent Corner HR Services Pvt Ltd,5-10 ,1300000 - 1600000 ,India,"java,python,python,core java,java,data engineer,datalakes","java data engineer - python/datalakes/java,India",java data engineer python datalakes java india,Engineer
1747,big data engineer - hyderabad/bangalore,Demetrius Techologies,5-10 ,,India,"python,big data,pyspark,hive,presto,sqoop,shell scripting","big data engineer - hyderabad/bangalore,India",big data engineer hyderabad bangalore india,Engineer
1748,big data developer (sse/tl) - bengaluru/hyderabad,C P CAREERS PRIVATE LIMITED,4-8 ,550000 - 10 - 550000,"Chennai, India","java,dfs,java,maven,hive,model designing,hadoop","big data developer (sse/tl) - bengaluru/hyderabad,Chennai, India",big data developer sse tl bengaluru hyderabad chennai india,Developer
1749,software engineer – sap data volume management,C P CAREERS PRIVATE LIMITED,3-8 ,1500000 - 2500000 ,"Chennai, India","ap,sap abap,bustech,sap fico,sap data archiving,ps,sap abap","software engineer – sap data volume management,Chennai, India",software engineer sap data volume management chennai india,Manager
1750,data architecture principles application designer,Accenture Solutions Pvt Ltd,6-8 ,,Hyderabad,"python,data science,machine learning,aws,business process,linux,data science","data architecture principles application designer,Hyderabad",data architecture principle application designer hyderabad,Architect
1751,big data development - assistant manager,StateStreet Global Advisor Pvt Ltd,8-10 ,,Hyderabad,"coding,anti money laundering,machine learning,agile,application architecture,apache,big data,analytics","big data development - assistant manager,Hyderabad",big data development assistant manager hyderabad,Manager
1752,data modeler,RYTHMOS INDIA PRIVATE LIMITED,6-10 ,,Hyderabad,"oftware development,oracle,big data,dimensional modeling,data modeling,erwin,etl","data modeler,Hyderabad",data modeler hyderabad,Generic
1753,dsc data specialist ( for 2021 pass outs only ),Micron Technology Operations India LLP,1-2 ,,Hyderabad,"data engineering,power bi,data structures,data management,data analysis,data extraction,analytics,sql","dsc data specialist ( for 2021 pass outs only ),Hyderabad",dsc data specialist pas out hyderabad,Generic
1754,etl data integration architect,Param Info Computer Services Pvt. Ltd,6-11 ,,Hyderabad,"python,testing,oracle,aws,tableau,unix,production support","etl data integration architect,Hyderabad",etl data integration architect hyderabad,Architect
1755,data modeller,Altimetrik India Pvt. Ltd,8-13 ,,Hyderabad,"application design,data analysis,metadata,data modeling,pharma,data architect,design development,conceptualization","data modeller,Hyderabad",data modeller hyderabad,Generic
1756,"advisor, data engineering",Varite,8-9 ,,Hyderabad,"oracle,data analysis,rdbms,data modeling,analytical,plsql,informatica","advisor, data engineering,Hyderabad",advisor data engineering hyderabad,Engineer
1757,data architect,"CDK GLOBAL, LLC.",8-13 ,,"Hyderabad, telangana","machine learning,project management,big data,bpo,project management,data management,project management","data architect,Hyderabad, telangana",data architect hyderabad telangana,Architect
1758,big data developer ( sse / tl ) - bengaluru / hyderabad,Brownbricks HR Solutions,5-9 ,700000 - 1700000 ,India,"java,python,big data,aws,java,maven,hive","big data developer ( sse / tl ) - bengaluru / hyderabad,India",big data developer sse tl bengaluru hyderabad india,Developer
1759,big data developer ( aws / azure / pyspark ) - team lead / tech lead,Talent Toppers,3-6 ,800000 - 1500000 ,India,"pyspark,hive,azure,sqoop,cloudera,hadoop,mapreduce,oozie","big data developer ( aws / azure / pyspark ) - team lead / tech lead,India",big data developer aws azure pyspark team lead tech lead india,Lead
1760,data science specialist / senior specialist,MAVEN WAVE PARTNERS (INDIA)PVT. LTD.,3-6 ,,India,"python,testing,data science,machine learning,cloud,aws,azure","data science specialist / senior specialist,India",data science specialist senior specialist india,Lead
1761,talend engineer- big data,Macquarie Global Services Pvt. Ltd.,2-5 ,,Delhi NCR,"automation,data analysis,metadata,agile,technical lead,investment banking,asset management,sql","talend engineer- big data,Delhi NCR",talend engineer big data delhi ncr,Engineer
1762,"associate/senior associate, data processing",Gerson Lehrman Group India Pvt. Ltd.,1-3 ,,Delhi NCR,"data analysis,excel,quantitative research,compliance,analytical,data processing,data visualization,research","associate/senior associate, data processing,Delhi NCR",associate senior associate data processing delhi ncr,Lead
1763,quality analyst,Decision Point Analytics,0-1 ,,Delhi NCR,"quality assurance analyst,data analysis,data science,test reporting,cloud services,quality analyst,test scenarios,sql","quality analyst,Delhi NCR",quality analyst delhi ncr,Analyst
1764,aws data engineer,Software Data India Ltd.,4-9 ,700000 - 1700000 ,India,"big data,aws,amazon glue,aws glue,spark,redshift","aws data engineer,India",aws data engineer india,Engineer
1765,hiring for- mnc-mumbai & pune- azure data engineer professional,Sellcraft Global Solutions Private Limited,3-8 ,400000 - 900000 ,India Suburbs,"azure data engineer,azure,sql azure,it skills,azure","hiring for- mnc-mumbai & pune- azure data engineer professional,India Suburbs",hiring mnc mumbai pune azure data engineer professional india suburb,Engineer
1766,"programmers , data engineers & solution architects",Profisor Services Pvt. Ltd.,2-6 ,,Delhi NCR,"c++,automation,operations research,analytical,consulting,healthcare,php,perl","programmers , data engineers & solution architects,Delhi NCR",programmer data engineer solution architect delhi ncr,Engineer
1767,network data engineer,Diverse Lynx,2-6 ,,Delhi NCR,"wireless,networking,performance engineering","network data engineer,Delhi NCR",network data engineer delhi ncr,Engineer
1768,data management - digital expert,M/s. orange business services,3-7 ,,Mumbai,"data analysis,sas,data management,business analysis,perl,ccna,open source,data mining","data management - digital expert,Mumbai",data management digital expert mumbai,Manager
1769,data engineer/ senior data engineer - sap bods,Talent Pursuits,5-10 ,,Mumbai,"cloud,oracle,ms sql,aws,sap,sap abap,sap abap","data engineer/ senior data engineer - sap bods,Mumbai",data engineer senior data engineer sap bod mumbai,Lead
1770,data engineer / sr. data engineer in a leading it co.,Fortune Human Capital (P) Ltd,2-7 ,500000 - 1500000 ,"India(Bandra Kurla Complex), Noida","python,machine learning,cloud,big data,aws,s3,ses","data engineer / sr. data engineer in a leading it co.,India(Bandra Kurla Complex), Noida",data engineer sr data engineer leading co india bandra kurla complex noida,Lead
1771,data pipeline developer - ms sql and python,Institutional Shareholder Services,2-4 ,,Mumbai,"-sql,ms sql server,python,java,docker,data analysis,etl,data cleaning","data pipeline developer - ms sql and python,Mumbai",data pipeline developer m sql python mumbai,Developer
1772,machine learning and,CAMSDATA Technologies India Pvt Ltd,3-8 ,,India,"python,machine learning,big data,mining,system architecture,email,algorithms","machine learning and,India",machine learning india,Generic
1773,manager/ sm - data science,Phenom Placement Consultancy,8-13 ,,Mumbai,"bpo,unix,mining,c++,sas,linux,machine learning,analytics","manager/ sm - data science,Mumbai",manager sm data science mumbai,Manager
1774,quant analyst- content development- algorithmic & quantitative trading,Quantinsti Quantitative Learning Pvt Ltd,0-3 ,,Mumbai,"python,machine learning,quantitative trading,quant analyst,algorithmic trading,trading,quant","quant analyst- content development- algorithmic & quantitative trading,Mumbai",quant analyst content development algorithmic quantitative trading mumbai,Analyst
1775,global data analytics,Bloomberg UTV,3-5 ,,Mumbai,"data analysis,bloomberg,sgml,xml,data processing,workflow,html,customer service","global data analytics,Mumbai",global data analytics mumbai,Generic
1776,"senior systems analyst_azure, .net. machine learning",Lionbridge Technologies LLP,10-17 ,,India,"python,machine learning,big data,.net,azure,tensorflow,nltk","senior systems analyst_azure, .net. machine learning,India",senior system analyst azure net machine learning india,Lead
1777,data engineer- aws specialist,NORTH STAR CONSULTING,5-10 ,,Mumbai,"cloud,aws,big data analytics,data mining,data integration,data migration,data analysis","data engineer- aws specialist,Mumbai",data engineer aws specialist mumbai,Engineer
1778,data analyst - sql,Pplanet HR Services,3-8 ,600000 - 750000 ,Mumbai,"mysql,dashboards,sql","data analyst - sql,Mumbai",data analyst sql mumbai,Analyst
1779,data engineer: business intelligence,ExecBoardinAsia,5-10 ,,Mumbai,"data analysis,data validation,tableau,database,data mapping,data visualization,management,business intelligence","data engineer: business intelligence,Mumbai",data engineer business intelligence mumbai,Engineer
1780,it data and analytics lead,Holcim Services (South Aisa) Limited,10-20 ,,India,"data science,business intelligence,program management,business analytics,project management,project delivery,data analytics,business analysis","it data and analytics lead,India",data analytics lead india,Lead
1781,urgent opening / sr. cloud and big data engineer / intl bpo / mumbai,Advent HR Solutions,10-18 ,1800000 - 2000000 ,Mumbai,"eam handling,web technologies,big data,amazon web services,aws,web services","urgent opening / sr. cloud and big data engineer / intl bpo / mumbai,Mumbai",urgent opening sr cloud big data engineer intl bpo mumbai mumbai,Engineer
1782,big data architect,VTalentGlobal,11-17 ,,Mumbai,"cloud computing,nosql,linux,rdbms,data security,machine learning,php,ruby","big data architect,Mumbai",big data architect mumbai,Architect
1783,chief data science officer,Red lotus,15-18 ,,Mumbai,"computer science,data science,master data management,business analytics,analytical,project management,machine learning,data governance","chief data science officer,Mumbai",chief data science officer mumbai,Generic
1784,data engineer - sde2/3 - dreamx,Dream11 Inc,6-9 ,,Mumbai,"ableau,google analytics,nosql,coding,cassandra,script writing,machine learning,unit testing","data engineer - sde2/3 - dreamx,Mumbai",data engineer sde dreamx mumbai,Engineer
1785,data & business intelligence leader,2Soft Solutions,5-10 ,,Mumbai,"oracle,ssrs,ssis,teradata,business intelligence,microsoft,mcse,sql server","data & business intelligence leader,Mumbai",data business intelligence leader mumbai,Lead
1786,svp - data science,Dream11 Inc,5-15 ,,Mumbai,"computer vision,nginx,cassandra,mysql,machine learning,mongodb,open source,rpm","svp - data science,Mumbai",svp data science mumbai,Generic
1787,trainer data entry operator,ADS Softek Pvt Ltd,2-4 ,,"Mumbai, gopalganj","help desk,customer service,data analysis,customer relationship,access controls,telephony support,vendor management,information","trainer data entry operator,Mumbai, gopalganj",trainer data entry operator mumbai gopalganj,Generic
1788,data warehouse development team lead,2Soft Solutions Pvt. Ltd.,5-10 ,,Mumbai,"cloud computing,automation,data analysis,sas,mysql,ssrs,stored procedures,ssis","data warehouse development team lead,Mumbai",data warehouse development team lead mumbai,Lead
1789,data processor,Saffron Consultancy Services(scs),1-3 ,,Mumbai,"help desk,customer service,data analysis,customer relationship,access controls,telephony support,asset management,vendor management","data processor,Mumbai",data processor mumbai,Generic
1790,solution architect data sciences (advanced analytics),Acquisition Analytics Pvt. Ltd.,10-15 ,,Mumbai,"unix,visualization,project management,machine learning,tools,regression,healthcare,qlikview","solution architect data sciences (advanced analytics),Mumbai",solution architect data science advanced analytics mumbai,Architect
1791,data architect for only for banking domain,HR Devi and Associates,6-7 ,,Mumbai,"echnical product configuration,c++,c,design,mysql,javascript,integration php,html","data architect for only for banking domain,Mumbai",data architect banking domain mumbai,Architect
1792,business analyst - enabling functions,Fractal Analytics Ltd,6-8 ,,Mumbai,"egal compliance,business analyst,analytical,qlikview,data visualization,stakeholder management,client management,sql","business analyst - enabling functions,Mumbai",business analyst enabling function mumbai,Analyst
1793,internship in business analytics - online mode,IIBM Institute of Business Management,0-5 ,150000 - 250000 ,"Mumbai, India","excel,sql dba,data analyst","internship in business analytics - online mode,Mumbai, India",internship business analytics online mode mumbai india,Generic
1794,data platform architect,Syngenta India Limited,10-18 ,,Pune,"big data analytics,hadoop,aws,it skills,python,cloud,big data,aws","data platform architect,Pune",data platform architect pune,Architect
1795,big data - lead developer @ pune,Eyeglobal Solutions Private Limited,5-10 ,,Pune,"big data,sql,hive,it skills,java,python,javascript,big data","big data - lead developer @ pune,Pune",big data lead developer pune pune,Lead
1796,data analytics and interpretation application lead,Accenture Solutions Pvt Ltd,6-8 ,,Pune,"esting,data analysis,sas,data modeling,coding,debugging,tibco","data analytics and interpretation application lead,Pune",data analytics interpretation application lead pune,Lead
1797,data analysis with gl professional,Arminus Software Pvt. Ltd.,3-5 ,,Pune,"data analytics,accounting,gl,finance,data management,data analysis,data analytics,etl","data analysis with gl professional,Pune",data analysis gl professional pune,Analyst
1798,immediate joining - data engineer @ pune!,Virivi Hire Tech Solutions (OPC) Pvt Ltd,3-6 ,4000000 - 9000000 ,Pune,"java,python,aws,cognito,pyspark,maven,core java","immediate joining - data engineer @ pune!,Pune",immediate joining data engineer pune pune,Engineer
1799,"urgent opening for ""data engineer""- ""pune(erandwane) location",Manav Corporate Consultants,4-8 ,1100000 - 1500000 ,Pune,"java,python,oracle,big data,java,c++,nosql","urgent opening for ""data engineer""- ""pune(erandwane) location,Pune",urgent opening data engineer pune erandwane location pune,Engineer
1800,senior business analyst - sas/ r/ python - banking domain,Huquo Consulting Pvt. Ltd,3-5 ,,India,"as,data management,data analytics,statistics,machine learning,analytics,python,sql","senior business analyst - sas/ r/ python - banking domain,India",senior business analyst sa r python banking domain india,Lead
1801,data engineer,Fractal.ai,2-5 ,,Remote,"computer science,metadata,data modeling,analytical,machine learning,business intelligence,analytics,monitoring","data engineer,Remote",data engineer remote,Engineer
1802,senior manager data science,ExecBoardinAsia,5-10 ,,Chennai,"oop,career development,data analysis,data science,analytical,machine learning,research,operations","senior manager data science,Chennai",senior manager data science chennai,Lead
1803,mentor - data engineering course,Springboard,1-5 ,,Remote,"an,health insurance,orchestration,machine learning,hadoop,mentor,budgeting,big data","mentor - data engineering course,Remote",mentor data engineering course remote,Engineer
1804,big data developer - hadoop/python/java,Huquo Consulting Pvt. Ltd,3-5 ,,Bengaluru,"java,python,devops,css,javascript,big data,aws","big data developer - hadoop/python/java,Bengaluru",big data developer hadoop python java bengaluru,Developer
1805,"data engineer - python, aws",VME VHIRE SOLUTIONS PRIVATE LIMITED,5-10 ,800000 - 1500000 ,Chennai,"java,python,cloud,project management,aws,azure,bpo","data engineer - python, aws,Chennai",data engineer python aws chennai,Engineer
1806,data engineer - spark/ hive,Benchire,3-6 ,,Bengaluru,"python,data science,big data,pyspark,logistic regression,segmentation,shell scripting","data engineer - spark/ hive,Bengaluru",data engineer spark hive bengaluru,Engineer
1807,big data developer - python/hadoop,Catalyst,3-8 ,,Bengaluru,"java,python,data science,machine learning,big data,java,hive","big data developer - python/hadoop,Bengaluru",big data developer python hadoop bengaluru,Developer
1808,data engineer/ data science consultant - business intelligence tools,Career Infosystem,4-9 ,,Bengaluru,"python,data science,machine learning,cloud,tableau,power bi,azure","data engineer/ data science consultant - business intelligence tools,Bengaluru",data engineer data science consultant business intelligence tool bengaluru,Engineer
1809,data engineer,HyreFox Consultants Pvt Ltd,4-8 ,,Chennai,"computer science,metadata,nosql,project management,data structures,analytics,software services,sql","data engineer,Chennai",data engineer chennai,Engineer
1810,big data developer - iit/iim,Huquo Consulting Pvt. Ltd,6-10 ,,Bengaluru,"java,python,devops,css,javascript,big data,aws","big data developer - iit/iim,Bengaluru",big data developer iit iim bengaluru,Developer
1811,data engineer - big data - tiger analytics,Tiger Analytics India LLP,4-7 ,,Chennai,"park,hadoop,hive,cloud,kafka,big data,hdfs,databricks","data engineer - big data - tiger analytics,Chennai",data engineer big data tiger analytics chennai,Engineer
1812,data engineer - functional programming/big data,Huquo Consulting Pvt. Ltd,3-6 ,,Bengaluru,"java,python,testing,machine learning,devops,big data,aws","data engineer - functional programming/big data,Bengaluru",data engineer functional programming big data bengaluru,Engineer
1813,machine learning architect,Alstom Transport India Ltd.,5-10 ,,Bengaluru,"nltk,pattern recognition,nlp,artificial intelligence,natural language processing,neural networks,text mining,spacy","machine learning architect,Bengaluru",machine learning architect bengaluru,Architect
1814,business intelligence engineer- data analytics,ELEMENTS HR SERVICES PVT LTD,1-6 ,,Bengaluru,"business intelligence engineer,tableau,data analytics,data mining,sql,r programming,python","business intelligence engineer- data analytics,Bengaluru",business intelligence engineer data analytics bengaluru,Engineer
1815,software engineer - big data,Bold Technology Systems Private Limited,3-5 ,,Delhi NCR,"java,python,big data,java,scala,spark,apache","software engineer - big data,Delhi NCR",software engineer big data delhi ncr,Engineer
1816,senior software engineer - data platform,Etsy,3-8 ,,Remote,"gcp,cloud services,diversity and inclusion,machine learning,scala,hadoop,data processing,distribution system","senior software engineer - data platform,Remote",senior software engineer data platform remote,Lead
1817,"devops engineer, senior",iXplore Technologies,0-2 ,,Bengaluru,"python,testing,cloud,automation,git,configuration management,machine learning","devops engineer, senior,Bengaluru",devops engineer senior bengaluru,Lead
1818,senior data management manager,Search Advisers Services ( GUJ ) Pvt. Ltd.,10-15 ,,Bengaluru,"erp,automation,waterfall,data management,informatica,tableau,data integration,data quality","senior data management manager,Bengaluru",senior data management manager bengaluru,Lead
1819,data analyst & reporting engineer,Talent Thrill Consulting Private Limited,5-8 ,,Bengaluru,"java,python,aws,kibana,debezium,db streaming,kafka","data analyst & reporting engineer,Bengaluru",data analyst reporting engineer bengaluru,Engineer
1820,senior sql/alteryx developer - data warehousing/etl,Serving Skill,6-11 ,,India,"esting,cloud,oracle,aws,azure,data migration,alteryx","senior sql/alteryx developer - data warehousing/etl,India",senior sql alteryx developer data warehousing etl india,Lead
1821,big data engineer - hadoop/mapreduce,Catalyst,3-7 ,,Bengaluru,"java,cloud,performance testing,big data,aws,azure,hive","big data engineer - hadoop/mapreduce,Bengaluru",big data engineer hadoop mapreduce bengaluru,Engineer
1822,big data lead quality engineer,Yo HR Consultancy,5-8 ,,Bengaluru,"python,testing,automation testing,qa,pyspark,automation,python scripting","big data lead quality engineer,Bengaluru",big data lead quality engineer bengaluru,Lead
1823,senior business analyst - us offshore delivery,Uniphore,4-7 ,,Bengaluru,"python,tableau,business process,automation,vlookup,anova,customer service","senior business analyst - us offshore delivery,Bengaluru",senior business analyst u offshore delivery bengaluru,Lead
1824,big data - sdet (lead quality engineer),Axcess Consultancy services,5-8 ,,Bengaluru,"python,testing,automation testing,automation testing,scala,pyspark. hdfs,python scripting","big data - sdet (lead quality engineer),Bengaluru",big data sdet lead quality engineer bengaluru,Lead
1825,"big data developer (scala, spark, python, automation testing)",Vikash Technologies,5-8 ,,Bengaluru,"python,testing,automation testing,big data,pyspark,scala,big data","big data developer (scala, spark, python, automation testing),Bengaluru",big data developer scala spark python automation testing bengaluru,Developer
1826,developer - big data/ hadoop /devops/ cloud platform,Career Infosystem,5-8 ,,Bengaluru,"python,testing,cloud,devops,big data,jenkins,aws","developer - big data/ hadoop /devops/ cloud platform,Bengaluru",developer big data hadoop devops cloud platform bengaluru,Developer
1827,data engineer - big data technologies,Forge Consultancy,5-7 ,,Bengaluru,"java,python,cloud,oracle,big data,aws,rds","data engineer - big data technologies,Bengaluru",data engineer big data technology bengaluru,Engineer
1828,opening for azure data bricks / big data developers,Metaphor Infotech,4-9 ,,Bengaluru,"python,aws,azure,pyspark,bigdata,python","opening for azure data bricks / big data developers,Bengaluru",opening azure data brick big data developer bengaluru,Developer
1829,bigquery engineer - big data/ hadoop,Huquo Consulting Pvt. Ltd,5-9 ,,Bengaluru,"java,python,cloud,big data,hive,bigquery,data pipeline","bigquery engineer - big data/ hadoop,Bengaluru",bigquery engineer big data hadoop bengaluru,Engineer
1830,data engineer - python/spark/big data,Huquo Consulting Pvt. Ltd,4-9 ,,Bengaluru,"python,data science,cloud,big data,aws,data pipeline,hadoop","data engineer - python/spark/big data,Bengaluru",data engineer python spark big data bengaluru,Engineer
1831,full stack data engineer - etl/big data/java,Serving Skill,6-9 ,,India,"java,python,cloud,big data,jenkins,aws,data ingestion","full stack data engineer - etl/big data/java,India",full stack data engineer etl big data java india,Engineer
1832,bigquery engineer - big data/hadoop,Huquo Consulting Pvt. Ltd,5-9 ,,Bengaluru,"java,python,cloud,big data,hive,bigquery,data pipeline","bigquery engineer - big data/hadoop,Bengaluru",bigquery engineer big data hadoop bengaluru,Engineer
1833,data analytics engineer - r/ python,Career Infosystem,4-6 ,,Bengaluru,"potfire,r,eda,web crawling,tableau,data analytics,virtualization,web scraping","data analytics engineer - r/ python,Bengaluru",data analytics engineer r python bengaluru,Engineer
1834,data engineer - java/python/scala,Serving Skill,6-10 ,,Bengaluru,"java,python,testing,big data,aws,azure,java","data engineer - java/python/scala,Bengaluru",data engineer java python scala bengaluru,Engineer
