,ROLES,Companies,Experience,Salary,Location,Skills,Search,Clean_data,Title_new
303,data scientist iii,Ncr Corporation India Pvt Ltd,4-7 ,,Hyderabad,"java,python,machine learning,cloud,tableau,hospitality,tableau","data scientist iii,Hyderabad",data scientist iii hyderabad,Scientist
304,data scientist,Mahajan Imaging,4-6 ,,"Delhi, India","medical imaging,pdf,email,imaging,radiology,clinical research,doc,mammography","data scientist,Delhi, India",data scientist delhi india,Scientist
305,"data scientist, advanced analytics",ICL Systems,5-10 ,,Delhi NCR,"raining,supply chain,data analysis,prototype,network optimization,machine learning,debugging,open source","data scientist, advanced analytics,Delhi NCR",data scientist advanced analytics delhi ncr,Scientist
306,data architect/data scientist,AxmiYaN HR Solutions Private Limited,5-10 ,,Delhi NCR,"raining,ms sql,database design,analytical,data architect,database,data analyst,data mining","data architect/data scientist,Delhi NCR",data architect data scientist delhi ncr,Scientist
307,data scientist / analyst,Adoro,2-5 ,,Mumbai,"computer science,basic,senior analyst,statistical software,matlab,statistics,sql,python","data scientist / analyst,Mumbai",data scientist analyst mumbai,Scientist
308,data scientist urgent hiring,Griffyn Robotech Pvt Ltd,2-5 ,,Pune,"natural language processing,api,tableau,machine learning,deep learning,python,sql","data scientist urgent hiring,Pune",data scientist urgent hiring pune,Scientist
309,senior data scientist - internet/online,e-Hireo Global Pvt Ltd,7-12 ,,Bengaluru,"data science,sas,data scientist,data management,big data,data warehousing,data modeling,statistics","senior data scientist - internet/online,Bengaluru",senior data scientist internet online bengaluru,Lead
310,canadian mnc looking for data scientist,Pleco Migration Private Limited,2-7 ,3000000 - 4500000 ,Canada,"machine learning,data extraction,company research,senior analyst,data scientist,data mining,lead data analyst","canadian mnc looking for data scientist,Canada",canadian mnc looking data scientist canada,Scientist
311,data scientist/ senior data scientist - cpg domain,NovoTree Minds Consulting Pvt. Ltd.,4-8 ,,Bengaluru,"data science,data scientist,statistical modeling,statistics,analytics,consulting - consumer goods,sql,python","data scientist/ senior data scientist - cpg domain,Bengaluru",data scientist senior data scientist cpg domain bengaluru,Lead
312,data scientist and associate data scientist @ ncr,Bhartia Management Consultancy,5-10 ,,Delhi NCR,"python,machine learning,azure,predictive modeling,algorithms,artificial neural networks,microsoft azure","data scientist and associate data scientist @ ncr,Delhi NCR",data scientist associate data scientist ncr delhi ncr,Scientist
313,only fresher / data scientist / python/ tableau/ data analyst - mnc,GABA Consultancy services,0-0 ,225000 - 475000 ,"Delhi NCR, Ghaziabad, Greater Noida","o2c,fresher data analyst,power bi,banking,data management,tableau,marketing analytics,graduate fresher","only fresher / data scientist / python/ tableau/ data analyst - mnc,Delhi NCR, Ghaziabad, Greater Noida",fresher data scientist python tableau data analyst mnc delhi ncr ghaziabad greater noida,Scientist
314,data scientist:development of erp in banking domain,Optimum Business Solutions,4-7 ,500000 - 650000 ,Delhi NCR,big data analytics machine learning data mining hadoop pivotal visualization,"data scientist:development of erp in banking domain,Delhi NCR",data scientist development erp banking domain delhi ncr,Scientist
315,"avp/sm data scientist for goods & service tax network, delhi",NISG (National Institute for Smart Government),8-13 ,,Delhi,"java,python,testing,data science,machine learning,big data,tableau","avp/sm data scientist for goods & service tax network, delhi,Delhi",avp sm data scientist good service tax network delhi delhi,Scientist
316,data scientist,Akeo Software Solutions,4-8 ,,Jaipur,"java,python,tableau,data analysis,c++,operations research,analytical","data scientist,Jaipur",data scientist jaipur,Scientist
317,sde - data scientist,Zamroo,4-9 ,,Delhi NCR,"de,data scientist,manager technology","sde - data scientist,Delhi NCR",sde data scientist delhi ncr,Scientist
318,data scientist-deep learning-5-8 years,CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,5-8 ,1600000 - 1900000 ,Bengaluru,"data science,keras,tensorflows,machine learning,deep learning,python","data scientist-deep learning-5-8 years,Bengaluru",data scientist deep learning year bengaluru,Scientist
319,data scientist,IDS Infotech Ltd.,5-7 ,500000 - 900000 ,Chandigarh,"python,testing,machine learning,aws,pytorch,data science,natural language processing","data scientist,Chandigarh",data scientist chandigarh,Scientist
320,data scientist,"Fetch Rewards, Inc.",1-7 ,,Remote,"python,data science,machine learning,tableau,computer science,tableau,data science","data scientist,Remote",data scientist remote,Scientist
321,lead data scientist,Snaphunt,5-10 ,,Remote,"ensorflow,pattern recognition,natural language processing,computer science,hadoop,big data,data mining,spark","lead data scientist,Remote",lead data scientist remote,Lead
322,data scientist-analytics & insights,Hiring Joint,3-6 ,,Delhi NCR,"upply chain,data analysis,analytical,machine learning,data processing,data structures,data mining,operations","data scientist-analytics & insights,Delhi NCR",data scientist analytics insight delhi ncr,Scientist
323,data scientist-tumblr,Automattic (Engineering),4-8 ,,Remote,"python,testing,product engineering,wordpress,customer support,scheduling,data quality","data scientist-tumblr,Remote",data scientist tumblr remote,Scientist
324,"coresight research, inc.- data scientist","Coresight Research, Inc.",5-10 ,,Mangalore,"analytical skills,retail,data analysis,time management,data modeling,data collection,research,sql","coresight research, inc.- data scientist,Mangalore",coresight research inc data scientist mangalore,Scientist
325,ai / ml data scientist - democratize commerce through technology,CareerXperts Consulting,2-7 ,,Delhi NCR,"computer science,system architecture,c++,image processing,analytical,consulting,machine learning,data mining","ai / ml data scientist - democratize commerce through technology,Delhi NCR",ai ml data scientist democratize commerce technology delhi ncr,Scientist
326,immediate hiring - data scientist !!,ARMSOFTECH.AIR,2-7 ,,Chennai,"java,python,data science,machine learning,artificial intelligence,data science,nlp","immediate hiring - data scientist !!,Chennai",immediate hiring data scientist chennai,Scientist
327,data scientist,Emerging India Group,3-8 ,,"Delhi, Noida","python,testing,data science,machine learning,tableau,power bi,social media analytics","data scientist,Delhi, Noida",data scientist delhi noida,Scientist
